2026-06-27 14:24:07,870 INFO    MainThread:2634628 [wandb_setup.py:_flush():81] Current SDK version is 0.28.0
2026-06-27 14:24:07,871 INFO    MainThread:2634628 [wandb_setup.py:_flush():81] Configure stats pid to 2634628
2026-06-27 14:24:07,871 INFO    MainThread:2634628 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-06-27 14:24:07,871 INFO    MainThread:2634628 [wandb_init.py:setup_run_log_directory():725] Logging user logs to /home/edwin/pose-llm/wandb/run-20260627_142407-7olry24i/logs/debug.log
2026-06-27 14:24:07,871 INFO    MainThread:2634628 [wandb_init.py:setup_run_log_directory():726] Logging internal logs to /home/edwin/pose-llm/wandb/run-20260627_142407-7olry24i/logs/debug-internal.log
2026-06-27 14:24:07,871 INFO    MainThread:2634628 [wandb_init.py:init():768] calling init triggers
2026-06-27 14:24:07,871 INFO    MainThread:2634628 [wandb_init.py:init():773] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-06-27 14:24:07,871 INFO    MainThread:2634628 [wandb_init.py:init():816] starting backend
2026-06-27 14:24:07,871 INFO    MainThread:2634628 [wandb_init.py:init():831] sending inform_init request
2026-06-27 14:24:08,164 INFO    MainThread:2634628 [wandb_init.py:init():836] backend started and connected
2026-06-27 14:24:08,166 INFO    MainThread:2634628 [wandb_init.py:init():906] updated telemetry
2026-06-27 14:24:08,170 INFO    MainThread:2634628 [wandb_init.py:init():929] communicating run to backend with 90.0 second timeout
2026-06-27 14:24:09,166 INFO    MainThread:2634628 [wandb_init.py:init():974] starting run threads in backend
2026-06-27 14:24:09,216 INFO    MainThread:2634628 [wandb_run.py:_console_start():2523] atexit reg
2026-06-27 14:24:09,216 INFO    MainThread:2634628 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-06-27 14:24:09,216 INFO    MainThread:2634628 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-06-27 14:24:09,216 INFO    MainThread:2634628 [wandb_run.py:_redirect():2465] Redirects installed.
2026-06-27 14:24:09,221 INFO    MainThread:2634628 [wandb_init.py:init():1012] run started, returning control to user process
